batch_num,round_num,speaker_hash,speaker_nickname,timestamp,message,majority_pct,num_votes
0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20T18:27:20.125Z,Hello! ,1.0,3
0,0,5e31d6e4e31c5304c46f1413,culturedCow,2020-04-20T18:27:23.764Z,Hi!,1.0,3
0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20T18:27:27.724Z,Hello,1.0,3
0,0,5d482ea421c9be351f762255,youngLion,2020-04-20T18:27:30.410Z,Hi,1.0,3
0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20T18:27:35.506Z,hi,1.0,3
0,0,5d482ea621c9be351f762ae5,culturedBear,2020-04-20T18:28:09.451Z,hello,1.0,3
0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20T18:28:20.136Z,I don't think the guy is the a$$hole. Thoughts?,1.0,3
0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20T18:28:28.501Z,So who thinks the guy is an ass for asking his mother in law to learn english,1.0,3
0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20T18:28:30.530Z,"I think that this person is not an asshole because, according to him, he was very polite while approaching the issue",1.0,3
0,0,5d482ea421c9be351f762255,youngLion,2020-04-20T18:28:30.637Z,I can see how the family is upset because they feel the mother was disrespected but I can also understand the guy's feelings. Why should he have to work as interpreter for his mother in law?,1.0,3
0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20T18:28:50.848Z,"Yes, I think his feeling makes sense to me to. Who doesn't want to be independent.",1.0,3
0,0,5e31d6e4e31c5304c46f1413,culturedCow,2020-04-20T18:28:51.159Z,I was conflicted because I could understand his frustration however I feel he should have maybe discussed strategies with how to approach the mother in law with his wife first.,1.0,3
0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20T18:28:59.058Z,His MIL has been here for 8 years. You would think she'd pick up some English by now.,1.0,3
0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20T18:29:00.317Z,I think he had every right to want to help his mother in law,1.0,3
0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20T18:29:03.788Z,I also agree with culturedCow,1.0,3
